id,timestamp,log_type,description,source_ip,destination_ip,threat_level
1,2025-05-04 05:32:03,malware,Detected malware activity from remote source.,192.168.173.14,10.0.109.238,15
2,2024-07-01 21:48:18,threat,Detected threat activity from remote source.,192.168.176.202,10.0.216.162,5
3,2024-11-08 07:33:29,malicious,Detected malicious activity from remote source.,192.168.202.75,10.0.134.84,10
4,2025-03-09 20:01:18,malicious,Detected malicious activity from remote source.,192.168.35.120,10.0.37.95,11
5,2025-04-18 22:42:18,threat,Detected threat activity from remote source.,192.168.196.143,10.0.197.249,14
6,2024-08-20 21:51:20,hack,Detected hack activity from remote source.,192.168.21.44,10.0.165.49,8
7,2024-07-04 16:39:31,malware,Detected malware activity from remote source.,192.168.159.182,10.0.27.214,8
8,2025-04-12 05:19:21,threat,Detected threat activity from remote source.,192.168.67.40,10.0.191.206,6
9,2024-11-17 12:15:09,threat,Detected threat activity from remote source.,192.168.101.7,10.0.73.55,14
10,2025-01-15 18:17:35,phishing,Detected phishing activity from remote source.,192.168.120.146,10.0.113.89,12
11,2024-08-04 14:12:30,phishing,Detected phishing activity from remote source.,192.168.141.11,10.0.98.106,9
12,2024-04-20 02:21:49,malware,Detected malware activity from remote source.,192.168.1.176,10.0.51.118,13
13,2024-12-24 13:05:46,malicious,Detected malicious activity from remote source.,192.168.33.20,10.0.249.67,13
14,2024-09-20 03:01:25,suspicious,Detected suspicious activity from remote source.,192.168.145.71,10.0.132.225,8
15,2025-04-19 00:41:39,phishing,Detected phishing activity from remote source.,192.168.64.114,10.0.139.174,8
16,2024-09-02 09:19:54,hack,Detected hack activity from remote source.,192.168.206.18,10.0.152.25,13
17,2025-02-20 09:31:58,phishing,Detected phishing activity from remote source.,192.168.63.29,10.0.96.84,5
18,2024-05-04 16:27:19,suspicious,Detected suspicious activity from remote source.,192.168.84.178,10.0.183.88,10
19,2024-08-09 21:20:12,hack,Detected hack activity from remote source.,192.168.197.197,10.0.47.198,15
20,2025-01-02 05:51:27,phishing,Detected phishing activity from remote source.,192.168.118.148,10.0.200.146,12
21,2025-02-02 01:13:26,suspicious,Detected suspicious activity from remote source.,192.168.21.130,10.0.144.36,15
22,2024-04-21 05:39:12,threat,Detected threat activity from remote source.,192.168.106.229,10.0.150.158,10
23,2024-06-27 06:22:25,malware,Detected malware activity from remote source.,192.168.61.240,10.0.121.43,13
24,2024-11-11 01:53:47,malicious,Detected malicious activity from remote source.,192.168.201.207,10.0.168.196,9
25,2024-09-22 20:50:12,malware,Detected malware activity from remote source.,192.168.238.67,10.0.88.240,10
26,2024-07-17 23:39:25,malicious,Detected malicious activity from remote source.,192.168.87.4,10.0.148.198,7
27,2024-07-05 09:20:52,hack,Detected hack activity from remote source.,192.168.130.134,10.0.233.250,12
28,2024-06-14 07:07:39,threat,Detected threat activity from remote source.,192.168.12.106,10.0.180.174,11
29,2024-12-27 06:49:13,suspicious,Detected suspicious activity from remote source.,192.168.115.96,10.0.71.154,7
30,2024-11-22 12:10:24,hack,Detected hack activity from remote source.,192.168.111.120,10.0.225.227,15
31,2024-10-20 08:54:03,malicious,Detected malicious activity from remote source.,192.168.35.92,10.0.104.87,11
32,2025-04-17 02:39:52,phishing,Detected phishing activity from remote source.,192.168.13.3,10.0.178.167,8
33,2024-12-12 05:26:14,threat,Detected threat activity from remote source.,192.168.248.131,10.0.56.50,11
34,2024-05-09 21:25:09,malicious,Detected malicious activity from remote source.,192.168.94.42,10.0.164.2,7
35,2024-10-04 18:33:45,malware,Detected malware activity from remote source.,192.168.252.48,10.0.185.131,13
36,2024-04-12 08:22:35,suspicious,Detected suspicious activity from remote source.,192.168.46.214,10.0.95.1,8
37,2024-11-13 18:48:20,suspicious,Detected suspicious activity from remote source.,192.168.246.119,10.0.169.101,14
38,2024-11-12 09:08:30,malicious,Detected malicious activity from remote source.,192.168.177.13,10.0.252.4,8
39,2025-04-22 04:42:48,hack,Detected hack activity from remote source.,192.168.244.246,10.0.120.6,5
40,2024-11-15 11:49:37,threat,Detected threat activity from remote source.,192.168.229.239,10.0.72.95,15
41,2025-02-28 10:48:39,threat,Detected threat activity from remote source.,192.168.221.209,10.0.135.62,7
42,2024-12-24 18:03:32,suspicious,Detected suspicious activity from remote source.,192.168.227.48,10.0.63.22,15
43,2025-05-12 14:27:35,phishing,Detected phishing activity from remote source.,192.168.125.176,10.0.222.86,14
44,2024-04-13 02:48:49,malicious,Detected malicious activity from remote source.,192.168.26.103,10.0.96.148,7
45,2024-12-16 11:06:54,threat,Detected threat activity from remote source.,192.168.86.53,10.0.220.212,12
46,2024-10-15 06:31:39,malicious,Detected malicious activity from remote source.,192.168.100.219,10.0.160.155,7
47,2024-08-02 09:37:27,threat,Detected threat activity from remote source.,192.168.93.159,10.0.87.129,13
48,2024-04-05 20:23:43,malicious,Detected malicious activity from remote source.,192.168.11.143,10.0.104.248,10
49,2024-12-31 19:53:05,malicious,Detected malicious activity from remote source.,192.168.127.119,10.0.78.204,9
50,2024-05-29 14:48:28,hack,Detected hack activity from remote source.,192.168.129.4,10.0.49.163,8
51,2024-10-28 17:58:43,phishing,Detected phishing activity from remote source.,192.168.148.106,10.0.226.243,11
52,2024-10-27 06:31:41,phishing,Detected phishing activity from remote source.,192.168.181.89,10.0.254.142,5
53,2025-05-02 15:57:15,hack,Detected hack activity from remote source.,192.168.36.56,10.0.157.128,6
54,2024-07-12 01:15:12,hack,Detected hack activity from remote source.,192.168.139.240,10.0.4.213,9
55,2024-05-08 13:23:33,malware,Detected malware activity from remote source.,192.168.181.159,10.0.227.24,11
56,2024-05-22 11:23:34,phishing,Detected phishing activity from remote source.,192.168.96.240,10.0.148.245,13
57,2024-10-17 00:14:53,suspicious,Detected suspicious activity from remote source.,192.168.140.99,10.0.49.166,11
58,2025-01-21 19:16:17,malware,Detected malware activity from remote source.,192.168.28.86,10.0.112.34,7
59,2024-09-02 17:01:46,hack,Detected hack activity from remote source.,192.168.160.34,10.0.148.138,15
60,2025-01-21 04:08:50,hack,Detected hack activity from remote source.,192.168.4.107,10.0.138.137,6
61,2024-07-13 23:36:13,phishing,Detected phishing activity from remote source.,192.168.235.129,10.0.134.107,6
62,2024-09-01 01:15:00,hack,Detected hack activity from remote source.,192.168.114.123,10.0.101.3,14
63,2024-07-17 14:40:53,phishing,Detected phishing activity from remote source.,192.168.164.28,10.0.77.26,7
64,2024-06-12 14:01:37,hack,Detected hack activity from remote source.,192.168.251.146,10.0.172.202,12
65,2024-11-24 12:25:44,suspicious,Detected suspicious activity from remote source.,192.168.133.123,10.0.221.12,12
