timestamp,log_type,indicator_type,indicator,description,threat_level,source,mitre_attack
2024-04-23T01:01:21Z,phishing,ip,192.168.93.233,Phishing activity detected,medium,WebProxy,T7741
2024-06-18T22:50:49Z,malicious,ip,192.168.202.37,Malicious activity detected,medium,Firewall,T9856
2025-01-08T21:37:15Z,malware,ip,192.168.218.197,Malware activity detected,critical,WebProxy,T1477
2025-01-30T09:11:52Z,malware,ip,192.168.90.196,Malware activity detected,low,WebProxy,T1555
2024-06-04T05:06:24Z,threat,ip,192.168.122.223,Threat activity detected,medium,SIEM,T5180
2024-06-26T22:17:27Z,phishing,ip,192.168.100.226,Phishing activity detected,critical,SIEM,T1035
2024-07-26T20:20:16Z,hack,ip,192.168.120.239,Hack activity detected,low,IDS,T9601
2024-12-08T20:57:35Z,malicious,ip,192.168.179.168,Malicious activity detected,critical,Antivirus,T1163
2024-04-04T18:11:17Z,hack,ip,192.168.210.77,Hack activity detected,low,Endpoint,T4251
2025-03-14T05:21:44Z,suspicious,ip,192.168.185.226,Suspicious activity detected,critical,SIEM,T2734
2024-07-14T09:35:27Z,malware,ip,192.168.112.127,Malware activity detected,critical,WebProxy,T5918
2025-03-16T15:57:52Z,phishing,ip,192.168.186.84,Phishing activity detected,critical,IDS,T7915
2024-09-01T11:04:25Z,threat,ip,192.168.200.207,Threat activity detected,medium,SIEM,T2678
2025-04-04T21:13:42Z,malware,ip,192.168.216.80,Malware activity detected,high,SIEM,T2496
2025-02-10T16:12:54Z,malware,ip,192.168.69.210,Malware activity detected,medium,SIEM,T8016
2025-04-25T11:12:30Z,hack,ip,192.168.84.3,Hack activity detected,low,Endpoint,T2310
2024-05-27T14:43:09Z,malicious,ip,192.168.203.187,Malicious activity detected,high,Firewall,T7523
2024-11-03T22:18:41Z,hack,ip,192.168.103.117,Hack activity detected,high,SIEM,T5996
2024-05-13T04:03:21Z,malicious,ip,192.168.66.48,Malicious activity detected,low,WebProxy,T6438
2024-06-24T03:11:59Z,hack,ip,192.168.42.130,Hack activity detected,critical,WebProxy,T6614
2024-05-20T22:02:33Z,malicious,ip,192.168.67.55,Malicious activity detected,medium,Antivirus,T2343
2024-11-29T17:51:19Z,suspicious,ip,192.168.83.210,Suspicious activity detected,medium,WebProxy,T4774
2025-02-20T04:41:02Z,threat,ip,192.168.211.228,Threat activity detected,low,SIEM,T5135
2024-11-17T13:52:03Z,threat,ip,192.168.164.151,Threat activity detected,low,Endpoint,T2929
2024-08-27T10:40:08Z,malware,ip,192.168.68.191,Malware activity detected,low,Antivirus,T8943
2025-01-14T03:44:31Z,malicious,ip,192.168.87.125,Malicious activity detected,high,Firewall,T7111
2024-07-09T15:58:31Z,phishing,ip,192.168.170.241,Phishing activity detected,high,SIEM,T8015
2025-04-27T16:29:20Z,phishing,ip,192.168.88.235,Phishing activity detected,critical,SIEM,T7013
2024-05-31T12:09:28Z,malicious,ip,192.168.10.49,Malicious activity detected,low,IDS,T5381
2024-11-12T01:33:59Z,phishing,ip,192.168.67.203,Phishing activity detected,critical,Firewall,T8144
2025-02-04T04:39:54Z,malware,ip,192.168.204.139,Malware activity detected,low,WebProxy,T3937
2025-04-02T04:32:16Z,malware,ip,192.168.133.44,Malware activity detected,high,Endpoint,T3641
2024-08-31T19:08:22Z,threat,ip,192.168.123.254,Threat activity detected,critical,Firewall,T4660
2024-07-28T20:16:39Z,suspicious,ip,192.168.134.57,Suspicious activity detected,low,WebProxy,T6491
2024-04-16T12:12:12Z,malicious,ip,192.168.127.44,Malicious activity detected,low,Endpoint,T3403
2024-06-08T13:52:14Z,threat,ip,192.168.147.144,Threat activity detected,critical,IDS,T8335
2024-04-22T20:13:21Z,malware,ip,192.168.56.172,Malware activity detected,critical,Firewall,T7814
2025-02-23T23:16:01Z,threat,ip,192.168.101.221,Threat activity detected,low,Antivirus,T1728
2024-10-08T02:34:28Z,malware,ip,192.168.58.202,Malware activity detected,high,Antivirus,T5265
2025-03-01T08:50:50Z,threat,ip,192.168.119.214,Threat activity detected,critical,SIEM,T2650
2024-07-13T08:02:23Z,suspicious,ip,192.168.26.186,Suspicious activity detected,critical,Antivirus,T9125
2024-10-25T08:37:45Z,phishing,ip,192.168.61.203,Phishing activity detected,critical,Endpoint,T8026
2025-05-06T12:19:43Z,suspicious,ip,192.168.63.252,Suspicious activity detected,high,SIEM,T5462
2024-06-25T06:51:37Z,hack,ip,192.168.113.81,Hack activity detected,high,Antivirus,T3933
